time,Engine-RPM,Fault Type
7.757,1728,noise
7.758,1728,noise
7.759,1728,noise
7.76,1728,noise
7.761,1728,noise
7.762,1728,noise
7.763,1728,noise
7.764,1728,noise
7.765,1728,noise
7.766,1728,noise
7.767,1730,noise
7.768,1730,noise
7.769,1730,noise
7.77,1730,noise
7.771,1730,noise
7.772,1730,noise
7.773,1730,noise
7.774,1730,noise
7.775,1730,noise
7.776,1730,noise
7.777,1733,noise
7.778,1733,noise
7.779,1733,noise
7.78,1733,noise
7.781,1733,noise
7.782,1733,noise
7.783,1733,noise
7.784,1733,noise
7.785,1733,noise
7.786,1733,noise
7.787,1736,noise
7.788,1736,noise
7.789,1736,noise
7.79,1736,noise
7.791,1736,noise
7.792,1736,noise
7.793,1736,noise
7.794,1736,noise
7.795,1736,noise
7.796,1736,noise
7.797,1737,noise
7.798,1737,noise
7.799,1737,noise
7.8,1737,noise
7.801,1737,noise
7.802,1737,noise
7.803,1737,noise
7.804,1737,noise
7.805,1737,noise
7.806,1737,noise
7.807,1736,noise
7.808,1736,noise
7.809,1736,noise
7.81,1736,noise
7.811,1736,noise
7.812,1736,noise
7.813,1736,noise
7.814,1736,noise
7.815,1736,noise
7.816,1736,noise
7.817,1733,noise
7.818,1733,noise
7.819,1733,noise
7.82,1733,noise
7.821,1733,noise
7.822,1733,noise
7.823,1733,noise
7.824,1733,noise
7.825,1733,noise
7.826,1733,noise
7.827,1729,noise
7.828,1729,noise
7.829,1729,noise
7.83,1729,noise
7.831,1729,noise
7.832,1729,noise
7.833,1729,noise
7.834,1729,noise
7.835,1729,noise
7.836,1729,noise
7.837,1727,noise
7.838,1727,noise
7.839,1727,noise
7.84,1727,noise
7.841,1727,noise
7.842,1727,noise
7.843,1727,noise
7.844,1727,noise
7.845,1727,noise
7.846,1727,noise
7.847,1727,noise
7.848,1727,noise
7.849,1727,noise
7.85,1727,noise
7.851,1727,noise
7.852,1727,noise
7.853,1727,noise
7.854,1727,noise
7.855,1727,noise
7.856,1727,noise
7.857,1730,noise
7.858,1730,noise
7.859,1730,noise
7.86,1730,noise
7.861,1730,noise
7.862,1730,noise
7.863,1730,noise
7.864,1730,noise
7.865,1730,noise
7.866,1730,noise
7.867,1732,noise
7.868,1732,noise
7.869,1732,noise
7.87,1732,noise
